predict_value,currect_value
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
36028.67578125,30000.0
64999.99609375,120000.0
12137.19921875,27999.0
35999.99609375,28000.0
13998.9990234375,14500.0
38971.3203125,45000.0
6000.025390625,7000.0
29151.302734375,21000.0
29209.392578125,29000.0
29253.505859375,29999.0
64999.99609375,38000.0
14120.693359375,26000.0
28399.794921875,28000.0
9999.9990234375,11500.0
6016.8505859375,18000.0
64999.99609375,68000.0
